name;country;facebook_url;instagram_url;twitter_url;website_url;wiki_url;bio;photo
Tame Impala;;;;;;;;
Garbage;;;;;;;;
Todd Rundgren;;;;;;;;
INXS;;;;;;;;
Belle and Sebastian;;;;;;;;
My Bloody Valentine;;;;;;;;
Big Star;;;;;;;;
Eurythmics;;;;;;;;
The Chemical Brothers;;;;;;;;
Bon Iver;;;;;;;;
The Police;;;;;;;;
Ian Dury;;;;;;;;
The Mamas and the Papas;;;;;;;;
Public Image Ltd.;;;;;;;;
Moby Grape;;;;;;;;
Quicksilver Messenger Service;;;;;;;;
Meat Loaf;;;;;;;;
Blood, Sweat and Tears;;;;;;;;
Prefab Sprout;;;;;;;;
Eric B. & Rakim;;;;;;;;
Pere Ubu;;;;;;;;
Ry Cooder;;;;;;;;
Elvis Presley;;;;;;;;
The Smashing Pumpkins;;;;;;;;
The Go-Betweens;;;;;;;;
Kanye West;;;;;;;;
Jane's Addiction;;;;;;;;
Joan Baez;;;;;;;;
The Gun Club;;;;;;;;
PJ Harvey;;;;;;;;
Slint;;;;;;;;
Tears for Fears;;;;;;;;
Hüsker Dü;;;;;;;;
Cocteau Twins;;;;;;;;
Randy Newman;;;;;;;;
Vampire Weekend;;;;;;;;
Radiohead;;;;;;;;
Crosby, Stills & Nash;;;;;;;;
Scott Walker;;;;;;;;
Sufjan Stevens;;;;;;;;
Elliott Smith;;;;;;;;
The Monks;;;;;;;;
Led Zeppelin;;;;;;;;
Jamiroquai;;;;;;;;
Pixies;;;;;;;;
Foo Fighters;;;;;;;;
Justin Timberlake;;;;;;;;
The Cars;;;;;;;;
No Doubt;;;;;;;;
Tom Petty;;;;;;;;
The Dandy Warhols;;;;;;;;
Rihanna;;;;;;;;
Aphex Twin;;;;;;;;
Elastica;;;;;;;;
Ray Charles;;;;;;;;
Gram Parsons;;;;;;;;
Mott the Hoople;;;;;;;;
Ride;;;;;;;;
Bonnie 'Prince' Billy;;;;;;;;
Jackson Browne;;;;;;;;
Lloyd Cole and the Commotions;;;;;;;;
The Coral;;;;;;;;
The Fall;;;;;;;;
